t [s],Q [W],Tin [degC],Tout [degC]
151412,12060.0673650446,31.3009269135433,25.5580376920935
151712,11996.6432307246,31.2818028695416,25.5691156168156
152012,11870.3429125147,31.228880123752,25.5763358796974
152312,11846.7358788106,31.2193756126626,25.578072813229
152612,11859.6494524954,31.2205846431822,25.5731325229463
152912,11866.2958830429,31.2154902744086,25.5648731872453
153212,11862.3172234197,31.2079062996248,25.5591838122821
153512,11911.3838447409,31.2321458382544,25.5600582931397
153812,11936.0850837948,31.2519190122133,25.568068972311
154112,11880.3717066497,31.2339633405326,25.5766434802232
154412,11839.0219549339,31.2207337898187,25.5831042874692
154712,11807.6483646446,31.2092340097184,25.5865443122686
155012,11829.9422566324,31.2219382107655,25.5886323742739
155312,11851.437201113,31.2350421310962,25.5915006067567
155612,11914.8655506077,31.2715456248479,25.5978001245585
155912,11918.4191322053,31.2829518682826,25.6075141862801
156212,11866.5544261813,31.2686404899897,25.6179002870462
156512,11903.8453710246,31.2968322511619,25.6283344554359
156812,11894.3984954974,31.3022393903486,25.6382401067784
157112,11890.6830027096,31.3099654371426,25.6477354358523
157412,11925.2958056732,31.336613471451,25.6579011830352
157712,11912.7536294737,31.3412972078929,25.668557384334
158012,11949.8369341539,31.370820324994,25.6804217849207
158312,11988.2812915835,31.4029140394531,25.6942086625086
158612,11966.8662195547,31.4073738656626,25.7088661420651
158912,12000.9726555999,31.4390838735915,25.7243349899725
159212,12067.839516738,31.4883902215846,25.7417999755189
159512,12078.9174698436,31.5128584076422,25.7609929458119
159812,12093.902824984,31.5411462949204,25.7821449496899
160112,12078.2508148529,31.5546696116575,25.8031216045847
160412,12079.8814501275,31.5746116270919,25.8222871270312
160712,12054.8115299466,31.5792558854282,25.8388694425965
161012,12095.9770534031,31.6145056208181,25.854516547769
161312,12121.8798151019,31.6430668248873,25.8707431034102
161612,12125.633530295,31.6620330104483,25.8879218055459
161912,12082.8373462598,31.6580330479503,25.9043009783028
162212,12035.1468180033,31.6487825952972,25.9177603010099
162512,12045.2994617338,31.6644051729261,25.9285482863862
162812,12156.7007345213,31.7297880993586,25.9408829876818
163112,12159.9787648683,31.7467016441609,25.9562355656522
163412,12111.5132480189,31.7400745311987,25.9726872702373
163712,12093.1984133098,31.7465371453754,25.9878712342755
164012,12117.8565838241,31.772026573271,26.0016186762119
164312,12123.0078102489,31.7875023630684,26.0146415010451
164612,12079.0799921047,31.7783423606102,26.026399507227
164912,12043.4086009409,31.7709360289066,26.0359795522681
165212,11956.3586845502,31.7347484223682,26.0412442868681
165512,11976.4206784524,31.7466266258425,26.0435691599128
165812,11973.3220935649,31.7463801808503,26.0447982315337
166112,11986.3062858491,31.7547657010265,26.0470008030031
166412,12012.0387538496,31.7715608600536,26.0515424058395
166712,11982.775165318,31.763799776604,26.0577163645478
167012,11980.9234707614,31.7701435607379,26.0649419079944
167312,11929.3299798359,31.7507992756384,26.070165951907
167612,11901.8524532666,31.7402477893041,26.0726990020343
167912,11938.269941275,31.7594257351881,26.0745352869619
168212,11959.6095496311,31.7727953912601,26.0777432247691
168512,12000.3747610398,31.7985432904678,26.0840791185441
168812,12079.9981315887,31.8476442818549,26.0952642191936
169112,12092.0991825667,31.8682450078742,26.1101025399853
169412,12067.3021830142,31.8735633267153,26.1272289538514
169712,12102.3583140837,31.9073511135092,26.1443233448979
170012,12150.2722608112,31.9476692329238,26.1618252992042
170312,12187.1863973376,31.9842466654366,26.1808245714663
170612,12167.7008678915,31.9945344819832,26.2003912115587
170912,12138.0633548133,31.9986031897802,26.2185730208215
171212,12191.3111084008,32.0413644440932,26.2359782019976
171512,12200.2034149712,32.0627781831722,26.2531575093764
171812,12145.8480079033,32.0525972032889,26.2688600566683
172112,12126.882731784,32.0568732225955,26.2821671598412
